"annotation_id","choice","annotation_type","from_name","completion_id","project_id","task_id","completed_by_id","annotation_value_flag"
sbTCBK5Sm_,"[""Emergency""]",choices,severity,105,7,235395,18,0
BkvDYwZBOj,"[""Exclude""]",choices,exclude,106,7,235396,18,
JGD_7j7vWA,"[""Emergency""]",choices,severity,107,7,235397,18,0
HDXgG7_YbO,"[""Exclude""]",choices,exclude,108,7,235398,18,
jTK2MWbb40,"[""Non Emergency [No Doctor]""]",choices,severity,109,7,235399,18,2
dIjCFEEDeO,"[""Exclude""]",choices,exclude,110,7,235400,18,
ICSKt3KpKL,"[""Exclude""]",choices,exclude,130,7,235420,18,
"9xUPW2kFcV","[""Normal""]",choices,severity,663,7,238029,121,1
ovAYRdu_K9,"[""Non Emergency [Doctor]""]",choices,severity,111,7,235401,18,3
gmWSpV7d1-,"[""Exclude""]",choices,exclude,112,7,235402,18,
"9Cg6Tlga8o","[""Non Emergency [Doctor]""]",choices,severity,113,7,235403,18,3
K5Z5g203e5,"[""Exclude""]",choices,exclude,114,7,235404,18,
tpquDyAa3s,"[""Normal""]",choices,severity,115,7,235405,18,1
K4M2LW3iLi,"[""Emergency""]",choices,severity,116,7,235406,18,0
zmAqm_Nuip,"[""Emergency""]",choices,severity,117,7,235407,18,0
wio5ZXsRa6,"[""Emergency""]",choices,severity,119,7,235409,18,0
QDxRLU15Dd,"[""Emergency""]",choices,severity,118,7,235408,18,0
EXk80gtqUO,"[""Non Emergency [Doctor]""]",choices,severity,121,7,235411,18,3
QmmpDct2LL,"[""Non Emergency [Doctor]""]",choices,severity,122,7,235412,18,3
bdH-sdjIgw,"[""Emergency""]",choices,severity,123,7,235413,18,0
thOjKgD6b_,"[""Exclude""]",choices,exclude,124,7,235414,18,
N24bVRUkwD,"[""Non Emergency [Doctor]""]",choices,severity,125,7,235415,18,3
oDFlCNriFY,"[""Emergency""]",choices,severity,127,7,235417,18,0
nDXZDzNXV4,"[""Emergency""]",choices,severity,128,7,235418,18,0
WDSXblHpmC,"[""Exclude""]",choices,exclude,129,7,235419,18,
"5fosuajwVv","[""Emergency""]",choices,severity,131,7,235421,18,0
lJcEnJmus0,"[""Non Emergency [Doctor]""]",choices,severity,132,7,235422,18,3
WlsbPRz7GD,"[""Non Emergency [Doctor]""]",choices,severity,133,7,235423,18,3
c-Elkc3-P8,"[""Exclude""]",choices,exclude,134,7,235424,18,
BWu4uikvIl,"[""Emergency""]",choices,severity,135,7,235425,18,0
LoqrUlJy71,"[""Emergency""]",choices,severity,136,7,235426,18,0
gPeoKN-3Ry,"[""Emergency""]",choices,severity,137,7,235427,18,0
mmEEWRz8Qa,"[""Exclude""]",choices,exclude,138,7,235428,18,
_YuyCVh_tJ,"[""Exclude""]",choices,exclude,139,7,235429,18,
Gs49TNcZF_,"[""Emergency""]",choices,severity,142,7,235432,18,0
_fZ7FlPOyL,"[""Emergency""]",choices,severity,143,7,235433,18,0
"7KHyAUFI_V","[""Emergency""]",choices,severity,144,7,235434,18,0
il83itaBcp,"[""Exclude""]",choices,exclude,145,7,235435,18,
YbNYYubdXz,"[""Emergency""]",choices,severity,146,7,235436,18,0
-DMwbKkDOg,"[""Emergency""]",choices,severity,147,7,235437,18,0
qG8ZLoO14y,"[""Emergency""]",choices,severity,169,7,235701,120,0
RB_-ndT6eb,"[""Emergency""]",choices,severity,151,7,235446,18,0
nn1lNTjrgd,"[""Exclude""]",choices,exclude,152,7,235442,18,
"6y9JZgUV1I","[""Exclude""]",choices,exclude,157,7,235447,18,
gwMsHMS6Jd,"[""Emergency""]",choices,severity,153,7,235441,18,0
i5GoUQrKHn,"[""Emergency""]",choices,severity,154,7,235443,18,0
J4rE1WkfJE,"[""Exclude""]",choices,exclude,155,7,235444,18,
S8YzZWHdC9,"[""Exclude""]",choices,exclude,156,7,235445,18,
UA8XDE_PEx,"[""Emergency""]",choices,severity,159,7,235449,18,0
zdi3CScY6r,"[""Non Emergency [Doctor]""]",choices,severity,158,7,235448,18,3
SkvZZlkGLC,"[""Emergency""]",choices,severity,160,7,235450,18,0
bOnbpB8s-T,"[""Emergency""]",choices,severity,167,7,235700,120,0
"3laqi86b-O","[""Emergency""]",choices,severity,161,7,235451,18,0
BOo72AEEpc,"[""Normal""]",choices,severity,162,7,235452,121,1
QRkzJ0isBw,"[""Normal""]",choices,severity,664,7,238028,121,1
jv7AA9vP_j,"[""Emergency""]",choices,severity,222,7,235497,121,0
hKdoO9Z5eq,"[""Exclude""]",choices,exclude,288,7,235527,121,
G9PX8-KC7-,"[""Non Emergency [No Doctor]""]",choices,severity,248,7,235511,121,2
gQSLtBOlRp,"[""Exclude""]",choices,exclude,474,7,235540,121,
nSEbL35edT,"[""Non Emergency [No Doctor]""]",choices,severity,478,7,235544,121,2
WejiwP8DPC,"[""Exclude""]",choices,exclude,164,7,235453,121,
hXfweM-SJu,"[""Emergency""]",choices,severity,173,7,235704,120,0
wKSkXcxf6r,"[""Exclude""]",choices,exclude,475,7,235541,121,
scb7mXCDQm,"[""Exclude""]",choices,exclude,479,7,235545,121,
u0_e3zl1vw,"[""Non Emergency [Doctor]""]",choices,severity,176,7,235705,120,3
Oh2mC3PbYm,"[""Exclude""]",choices,exclude,348,7,235568,121,
FgElyFt4LO,"[""Exclude""]",choices,exclude,533,7,235857,120,
-BO2iUjqRO,"[""Emergency""]",choices,severity,171,7,235703,120,0
N95c9cZebv,"[""Non Emergency [No Doctor]""]",choices,severity,177,7,235706,120,2
"3n79UIEHra","[""Emergency""]",choices,severity,175,7,235459,121,0
dbyj6a7g0e,"[""Non Emergency [Doctor]""]",choices,severity,174,7,235458,121,3
tR7vCc2Eei,"[""Exclude""]",choices,exclude,180,7,235461,121,
"7ctD-AJAQ3","[""Emergency""]",choices,severity,181,7,235462,121,0
ulA6C1IB58,"[""Emergency""]",choices,severity,232,7,235502,121,0
lnu6eo6QzF,"[""Emergency""]",choices,severity,183,7,235463,121,0
FXjsjQ0pIk,"[""Emergency""]",choices,severity,184,7,235709,120,0
z_bqjEoxAl,"[""Normal""]",choices,severity,665,7,238027,121,1
Tob86TvoWz,"[""Emergency""]",choices,severity,186,7,235711,120,0
ss5-7N6J_A,"[""Emergency""]",choices,severity,505,7,235601,121,0
hia-FZhNHw,"[""Emergency""]",choices,severity,189,7,235466,121,0
igAAmk-9nG,"[""Emergency""]",choices,severity,506,7,235602,121,0
suhBN2-HbV,"[""Non Emergency [Doctor]""]",choices,severity,191,7,235712,120,3
_-dx0hdwIm,"[""Exclude""]",choices,exclude,192,7,235713,120,
"5-58QNvXS1","[""Exclude""]",choices,exclude,235,7,235505,121,
A9EBuMPNkw,"[""Emergency""]",choices,severity,194,7,235714,120,0
HIq4q4e9d9,"[""Exclude""]",choices,exclude,523,7,235848,120,
toIoSgpAmg,"[""Normal""]",choices,severity,197,7,235716,120,1
tMbWHEQGO8,"[""Emergency""]",choices,severity,198,7,235717,120,0
"2oU-gVQpxS","[""Non Emergency [No Doctor]""]",choices,severity,199,7,235718,120,2
dVi7o_SPiD,"[""Emergency""]",choices,severity,236,7,235746,120,0
iVRl25eMHO,"[""Exclude""]",choices,exclude,534,7,235858,120,
WmgeOGWT9Y,"[""Exclude""]",choices,exclude,193,7,235468,121,
Rd5ET2-pBg,"[""Normal""]",choices,severity,666,7,238026,121,1
avcP_kpxRr,"[""Exclude""]",choices,exclude,244,7,235509,121,
q4oWoGXz6C,"[""Emergency""]",choices,severity,292,7,235529,121,0
L3lpVYfYMp,"[""Non Emergency [No Doctor]""]",choices,severity,202,7,235719,120,2
zqOD9QKa2a,"[""Exclude""]",choices,exclude,507,7,235603,121,
EqcscHvSIz,"[""Exclude""]",choices,exclude,465,7,235821,120,
BHcgiVbjbv,"[""Exclude""]",choices,exclude,207,7,235721,120,
X7niF_Xlbj,"[""Emergency""]",choices,severity,206,7,235720,120,0
RftLLTyG_e,"[""Emergency""]",choices,severity,208,7,235475,121,0
QFaC00YWZ9,"[""Exclude""]",choices,exclude,203,7,235472,121,
Gi5BvbqYbI,"[""Exclude""]",choices,exclude,205,7,235474,121,
"87hgdnVakD","[""Emergency""]",choices,severity,209,7,235722,120,0
gcx5BQlMPp,"[""Exclude""]",choices,exclude,349,7,235569,121,
d-j3jEmwSZ,"[""Exclude""]",choices,exclude,524,7,235849,120,
jfILJZ6Udn,"[""Exclude""]",choices,exclude,220,7,235496,121,
"73ibYSRf1D","[""Exclude""]",choices,exclude,237,7,235506,121,
tA7Rectd-S,"[""Exclude""]",choices,exclude,452,7,235831,120,
T6Zl1a7YVd,"[""Exclude""]",choices,exclude,251,7,235513,121,
lYzxmsoDgg,"[""Exclude""]",choices,exclude,535,7,235859,120,
cK5xoPX2TZ,"[""Exclude""]",choices,exclude,212,7,235477,121,
epJVH0r3m6,"[""Exclude""]",choices,exclude,214,7,235479,121,
m9I2cYufn1,"[""Exclude""]",choices,exclude,215,7,235480,121,
o3YIXxJhdc,"[""Exclude""]",choices,exclude,216,7,235481,121,
l5kaTW_0j7,"[""Exclude""]",choices,exclude,217,7,235482,121,
eYBUh_HNaO,"[""Exclude""]",choices,exclude,218,7,235483,121,
"5-76ZIYnB9","[""Emergency""]",choices,severity,221,7,235724,120,0
qkqSmhY7oy,"[""Normal""]",choices,severity,667,7,238025,121,1
"8RuynCBJeH","[""Exclude""]",choices,exclude,223,7,235725,120,
NKYx7XRxdQ,"[""Exclude""]",choices,exclude,229,7,235743,120,
OPok8C6EAT,"[""Exclude""]",choices,exclude,231,7,235745,120,
CZS5R63f_Z,"[""Non Emergency [Doctor]""]",choices,severity,227,7,235726,120,3
vHHVb656fx,"[""Exclude""]",choices,exclude,230,7,235744,120,
F9n9o-ldUr,"[""Emergency""]",choices,severity,224,7,235498,121,0
PaRekikKlq,"[""Exclude""]",choices,exclude,225,7,235499,121,
jrpVzwtkA_,"[""Exclude""]",choices,exclude,226,7,235500,121,
Akx60p97qU,"[""Exclude""]",choices,exclude,233,7,235503,121,
IlpurDiVq3,"[""Exclude""]",choices,exclude,234,7,235504,121,
"471Yx_PGm2","[""Emergency""]",choices,severity,238,7,235507,121,0
H2iohi9JLe,"[""Emergency""]",choices,severity,239,7,235747,120,0
Bf0seNIYmg,"[""Exclude""]",choices,exclude,568,7,235892,120,
FJ1pNg95MA,"[""Emergency""]",choices,severity,243,7,235508,121,0
UurNftthdu,"[""Emergency""]",choices,severity,245,7,235751,120,0
PqVY8D_GgF,"[""Emergency""]",choices,severity,246,7,235510,121,0
"7BHE-WnA5x","[""Exclude""]",choices,exclude,241,7,235749,120,
v3JeqCXOqW,"[""Exclude""]",choices,exclude,242,7,235750,120,
VY1mfbPHjK,"[""Exclude""]",choices,exclude,388,7,235623,121,
FnwV1ooO2l,"[""Exclude""]",choices,exclude,350,7,235570,121,
CTrgsDi2Rk,"[""Normal""]",choices,severity,250,7,235512,121,1
iDI-cEoekL,"[""Emergency""]",choices,severity,321,7,235550,121,0
gNa1x-5N5T,"[""Exclude""]",choices,exclude,570,7,235894,120,
H7PuUERgtE,"[""Emergency""]",choices,severity,247,7,235752,120,0
VEO4jOlnWh,"[""Exclude""]",choices,exclude,584,7,235640,121,
"4zMnxenBCK","[""Emergency""]",choices,severity,249,7,235753,120,0
-FNaTd23fq,"[""Emergency""]",choices,severity,252,7,235514,121,0
ZxJ_D3lxDL,"[""Non Emergency [No Doctor]""]",choices,severity,510,7,235835,120,2
qEZfgkEpGI,"[""Exclude""]",choices,exclude,522,7,235847,120,
iZG1ot8Ixz,"[""Normal""]",choices,severity,668,7,238024,121,1
L-pWg_Jvu9,"[""Emergency""]",choices,severity,254,7,235754,120,0
vCJ4Adkbgi,"[""Non Emergency [No Doctor]""]",choices,severity,370,7,235607,121,2
r0EHvkCChL,"[""Non Emergency [Doctor]""]",choices,severity,256,7,235755,120,3
"7eHSHQBM-P","[""Exclude""]",choices,exclude,253,7,235515,121,
HwOcRU_9dN,"[""Exclude""]",choices,exclude,258,7,235727,120,
"4spYr-To36","[""Exclude""]",choices,exclude,511,7,235836,120,
tprAtNH-xu,"[""Exclude""]",choices,exclude,255,7,235516,121,
I82Hl2s1sD,"[""Non Emergency [Doctor]""]",choices,severity,262,7,235487,121,3
"0DHNwyftdK","[""Non Emergency [Doctor]""]",choices,severity,295,7,235531,121,3
"03nQa05kVV","[""Exclude""]",choices,exclude,261,7,235486,121,
aE-26KzahP,"[""Exclude""]",choices,exclude,264,7,235489,121,
NDTwKlOv4E,"[""Exclude""]",choices,exclude,263,7,235488,121,
aNXV_2KN56,"[""Emergency""]",choices,severity,265,7,235729,120,0
Emz6hr7weL,"[""Exclude""]",choices,exclude,179,7,235707,120,
WQtwaXiLV6,"[""Exclude""]",choices,exclude,267,7,235730,120,
IUI_VjKfvT,"[""Normal""]",choices,severity,669,7,238023,121,1
Awoal3X8Qn,"[""Exclude""]",choices,exclude,274,7,235517,121,
W4YMbI8LD-,"[""Exclude""]",choices,exclude,270,7,235732,120,
"59bG7dXiYz","[""Exclude""]",choices,exclude,346,7,235566,121,
vG5hq9WtX4,"[""Exclude""]",choices,exclude,290,7,235738,120,
e8ASYFgxlo,"[""Exclude""]",choices,exclude,320,7,235772,120,
"3EqlYxphCi","[""Emergency""]",choices,severity,275,7,235733,120,0
ZlTlFYD3eF,"[""Exclude""]",choices,exclude,272,7,235493,121,
Jd2a7mhEWg,"[""Exclude""]",choices,exclude,271,7,235492,121,
kLmXBru_Q3,"[""Exclude""]",choices,exclude,273,7,235494,121,
m0nyTBEqvo,"[""Emergency""]",choices,severity,277,7,235734,120,0
V_qwRZVITb,"[""Emergency""]",choices,severity,574,7,235898,120,0
"32P-gDQYg-","[""Exclude""]",choices,exclude,286,7,235736,120,
mGim_lwEVD,"[""Emergency""]",choices,severity,282,7,235523,121,0
LPVpGdv_Pb,"[""Emergency""]",choices,severity,285,7,235735,120,0
YoC7n-9VJk,"[""Exclude""]",choices,exclude,279,7,235520,121,
Ta3SwEdfy4,"[""Exclude""]",choices,exclude,280,7,235521,121,
XvGWplgW7i,"[""Exclude""]",choices,exclude,281,7,235522,121,
nzqswZx6OT,"[""Exclude""]",choices,exclude,284,7,235525,121,
I0jwcuhTlB,"[""Exclude""]",choices,exclude,289,7,235528,121,
ldpvklyZ6T,"[""Emergency""]",choices,severity,291,7,235739,120,0
"6a2Ww2VC9_","[""Emergency""]",choices,severity,525,7,235634,120,0
kOEUUhOezg,"[""Exclude""]",choices,exclude,577,7,235901,120,
E6WJ1EiLdY,"[""Emergency""]",choices,severity,294,7,235740,120,0
Ks1jz19ix-,"[""Exclude""]",choices,exclude,299,7,235756,120,
dr-Ppzc9vJ,"[""Exclude""]",choices,exclude,670,7,238022,121,
"0vUhgBaJCO","[""Emergency""]",choices,severity,298,7,235741,120,0
PAlbKFwf9i,"[""Emergency""]",choices,severity,300,7,235757,120,0
CH76AW11KK,"[""Exclude""]",choices,exclude,293,7,235530,121,
ACCJSQE8O_,"[""Exclude""]",choices,exclude,296,7,235532,121,
mlmhTtrMqs,"[""Exclude""]",choices,exclude,297,7,235533,121,
szYpt9GIUm,"[""Emergency""]",choices,severity,303,7,235759,120,0
gnrx_-9_oG,"[""Emergency""]",choices,severity,540,7,235865,120,0
tFmmytShb8,"[""Emergency""]",choices,severity,305,7,235761,120,0
Yp55nLz6MY,"[""Emergency""]",choices,severity,307,7,235763,120,0
Ye-CC60YTf,"[""Non Emergency [Doctor]""]",choices,severity,310,7,235765,120,3
"0yOKnUu2rB","[""Exclude""]",choices,exclude,185,7,235710,120,
tYV_sy04uP,"[""Exclude""]",choices,exclude,304,7,235760,120,
jBzsPPDbaM,"[""Exclude""]",choices,exclude,306,7,235762,120,
vOHaLZ3qF8,"[""Emergency""]",choices,severity,311,7,235766,120,0
OzMucpXckn,"[""Exclude""]",choices,exclude,579,7,235635,121,
ltsMclwpVN,"[""Normal""]",choices,severity,671,7,238021,121,1
n15Fzb_SHl,"[""Emergency""]",choices,severity,315,7,235768,120,0
Nuq5gV4enm,"[""Emergency""]",choices,severity,316,7,235769,120,0
bxtSJxe9Zr,"[""Emergency""]",choices,severity,317,7,235549,121,0
h0UekNLziK,"[""Emergency""]",choices,severity,318,7,235770,120,0
nlDn-OnQ1T,"[""Exclude""]",choices,exclude,319,7,235771,120,
K0UhwyfC_T,"[""Exclude""]",choices,exclude,259,7,235728,120,
RCeeQM1C-t,"[""Exclude""]",choices,exclude,313,7,235767,120,
bwBRGLjARc,"[""Exclude""]",choices,exclude,512,7,235837,120,
nsgPzm-tTZ,"[""Non Emergency [Doctor]""]",choices,severity,322,7,235773,120,3
MxCg-VdvRq,"[""Exclude""]",choices,exclude,268,7,235731,120,
rZ8wvNR1rZ,"[""Non Emergency [No Doctor]""]",choices,severity,453,7,235832,120,2
erF9dys0NJ,"[""Emergency""]",choices,severity,551,7,235877,120,0
FWNySNrh8h,"[""Non Emergency [Doctor]""]",choices,severity,327,7,235774,120,3
O0D3qm5dhF,"[""Non Emergency [Doctor]""]",choices,severity,329,7,235556,121,3
lUjKc40DA1,"[""Exclude""]",choices,exclude,347,7,235567,121,
e1uysQolPU,"[""Exclude""]",choices,exclude,324,7,235552,121,
yW4Oj7U9nZ,"[""Exclude""]",choices,exclude,325,7,235553,121,
phwtkB2ICU,"[""Exclude""]",choices,exclude,326,7,235554,121,
ZW5P3dag1V,"[""Exclude""]",choices,exclude,330,7,235557,121,
IBSvom5O4J,"[""Emergency""]",choices,severity,332,7,235776,120,0
_zBeBfGxPh,"[""Non Emergency [No Doctor]""]",choices,severity,333,7,235558,121,2
GPUijCAHDI,"[""Exclude""]",choices,exclude,287,7,235737,120,
"3hjxIZvsrO","[""Exclude""]",choices,exclude,513,7,235838,120,
"2Ig20ktGKa","[""Exclude""]",choices,exclude,335,7,235778,120,
"6iMxpXg3Nx","[""Emergency""]",choices,severity,341,7,235780,120,0
Lbnj4Mj7sX,"[""Normal""]",choices,severity,342,7,235563,121,1
EyfSCulRUr,"[""Emergency""]",choices,severity,344,7,235781,120,0
"2IXlkIHwJf","[""Exclude""]",choices,exclude,338,7,235560,121,
sWqRv1Eq4o,"[""Exclude""]",choices,exclude,340,7,235562,121,
N2hmWHPTqL,"[""Non Emergency [Doctor]""]",choices,severity,343,7,235564,121,3
"5ljzveGB3k","[""Exclude""]",choices,exclude,345,7,235565,121,
H1ECAQtnid,"[""Emergency""]",choices,severity,352,7,235783,120,0
U2pN81Mfmc,"[""Emergency""]",choices,severity,454,7,235501,121,0
iJjCa2rNJe,"[""Emergency""]",choices,severity,354,7,235784,120,0
td4XAcb7dR,"[""Emergency""]",choices,severity,536,7,235860,120,0
vGgKTGjId1,"[""Non Emergency [Doctor]""]",choices,severity,356,7,235785,120,3
btmkAdNtf-,"[""Emergency""]",choices,severity,360,7,235788,120,0
-yNEp2m7Vy,"[""Exclude""]",choices,exclude,358,7,235573,121,
nahim0mrYg,"[""Emergency""]",choices,severity,361,7,235574,121,0
c13u-NV2ix,"[""Emergency""]",choices,severity,362,7,235789,120,0
TMLN8DQQoH,"[""Exclude""]",choices,exclude,537,7,235862,120,
Kc4GoiLkSP,"[""Emergency""]",choices,severity,364,7,235790,120,0
z6KPxkm_Iv,"[""Emergency""]",choices,severity,365,7,235604,121,0
yZy1JpxgtW,"[""Normal""]",choices,severity,673,7,238019,121,1
Z3yLkRLBGg,"[""Exclude""]",choices,exclude,385,7,235620,121,
PdqYNnQmPE,"[""Normal""]",choices,severity,466,7,235822,120,1
"0AtDGA3LTr","[""Exclude""]",choices,exclude,486,7,235582,121,
-6IGi1FDmt,"[""Exclude""]",choices,exclude,366,7,235605,121,
Hxbr1pxllU,"[""Exclude""]",choices,exclude,367,7,235606,121,
DafxO98WVc,"[""Emergency""]",choices,severity,538,7,235863,120,0
"1_3VPDXaAH","[""Emergency""]",choices,severity,372,7,235793,120,0
ghpZ9gElSB,"[""Emergency""]",choices,severity,373,7,235609,121,0
lYrcq0r_R6,"[""Emergency""]",choices,severity,374,7,235610,121,0
k7RUsmdK0U,"[""Emergency""]",choices,severity,386,7,235621,121,0
TxETfbXaSG,"[""Exclude""]",choices,exclude,228,7,235742,120,
YFiYGhTSZt,"[""Exclude""]",choices,exclude,371,7,235608,121,
"0b02eS6SzU","[""Exclude""]",choices,exclude,375,7,235611,121,
SWt5IxscgH,"[""Exclude""]",choices,exclude,369,7,235792,120,
"1dsDrhgqjD","[""Emergency""]",choices,severity,376,7,235612,121,0
RqG50OOpC4,"[""Emergency""]",choices,severity,377,7,235613,121,0
"239T6RGSf-","[""Emergency""]",choices,severity,552,7,235879,120,0
zTK-3Pg4Wa,"[""Exclude""]",choices,exclude,380,7,235615,121,
jobPeIJcWb,"[""Non Emergency [Doctor]""]",choices,severity,379,7,235614,121,3
v-YwrvF2Ot,"[""Exclude""]",choices,exclude,381,7,235616,121,
"4uZzZMqDkf","[""Emergency""]",choices,severity,382,7,235617,121,0
_RVyW4X2CG,"[""Non Emergency [Doctor]""]",choices,severity,383,7,235618,121,3
DHxSYTpvo1,"[""Exclude""]",choices,exclude,384,7,235619,121,
VjqLyWJSZO,"[""Emergency""]",choices,severity,389,7,235795,120,0
KIR8uVcFx4,"[""Emergency""]",choices,severity,394,7,235624,121,0
UniIxEXzv1,"[""Exclude""]",choices,exclude,395,7,235625,121,
OHOoqMZ6SX,"[""Exclude""]",choices,exclude,240,7,235748,120,
kVGVSxlrmr,"[""Emergency""]",choices,severity,398,7,235801,120,0
"8RrvDjUgb8","[""Emergency""]",choices,severity,396,7,235800,120,0
vA_XQsbmwb,"[""Emergency""]",choices,severity,397,7,235626,121,0
U9zEeiJFZI,"[""Exclude""]",choices,exclude,399,7,235627,121,
"3NG3ZX12Gx","[""Exclude""]",choices,exclude,400,7,235628,121,
AxL_UT-F_V,"[""Exclude""]",choices,exclude,514,7,235839,120,
oaP_4DkyN5,"[""Exclude""]",choices,exclude,391,7,235797,120,
"9kHRRhGgcN","[""Exclude""]",choices,exclude,393,7,235799,120,
mFxHoCJ0kS,"[""Emergency""]",choices,severity,401,7,235802,120,0
KNy76rcSEi,"[""Non Emergency [Doctor]""]",choices,severity,414,7,235666,121,3
un2m9-EWfk,"[""Emergency""]",choices,severity,402,7,235629,121,0
PZfbpKdKFz,"[""Emergency""]",choices,severity,403,7,235630,121,0
bMR-QnAfEU,"[""Exclude""]",choices,exclude,404,7,235631,121,
wyImnWirFT,"[""Emergency""]",choices,severity,412,7,235664,121,0
u6k9UH6qz-,"[""Non Emergency [Doctor]""]",choices,severity,415,7,235667,121,3
XnAXhC-E-Q,"[""Non Emergency [Doctor]""]",choices,severity,416,7,235668,121,3
"0z4tY3Ze2E","[""Emergency""]",choices,severity,405,7,235632,121,0
bX7HXpcUVC,"[""Emergency""]",choices,severity,406,7,235633,121,0
IuAmlnL7I2,"[""Emergency""]",choices,severity,407,7,235659,121,0
ZTJ1_V7tew,"[""Emergency""]",choices,severity,408,7,235660,121,0
DpMHB4S1Jm,"[""Emergency""]",choices,severity,409,7,235661,121,0
CxFieFqUjV,"[""Non Emergency [Doctor]""]",choices,severity,410,7,235662,121,3
"6NoRp_BTeq","[""Non Emergency [Doctor]""]",choices,severity,411,7,235663,121,3
Ps2j5GD3_B,"[""Exclude""]",choices,exclude,413,7,235665,121,
elAup2Bp4Z,"[""Exclude""]",choices,exclude,417,7,235669,121,
-JAF7QpeFl,"[""Emergency""]",choices,severity,419,7,235671,121,0
"2oic9VKjrG","[""Emergency""]",choices,severity,420,7,235672,121,0
GUy20MPfD5,"[""Non Emergency [No Doctor]""]",choices,severity,421,7,235803,120,2
ZtsSAVdzZ8,"[""Non Emergency [No Doctor]""]",choices,severity,422,7,235673,121,2
nA3nVYi0ED,"[""Exclude""]",choices,exclude,423,7,235674,121,
jdPPBwD8yT,"[""Exclude""]",choices,exclude,424,7,235675,121,
beJW7UmqGK,"[""Emergency""]",choices,severity,425,7,235676,121,0
v61Wkw7lHB,"[""Emergency""]",choices,severity,426,7,235804,120,0
"8OcDzccDbc","[""Normal""]",choices,severity,674,7,238018,121,1
bfwPY99wI2,"[""Non Emergency [Doctor]""]",choices,severity,428,7,235677,121,3
"0vT4jKTYZL","[""Exclude""]",choices,exclude,461,7,235816,120,
UrjjlDv2LC,"[""Non Emergency [Doctor]""]",choices,severity,429,7,235678,121,3
"2rI6LdUb6Z","[""Emergency""]",choices,severity,541,7,235866,120,0
hGK9Ih1C3e,"[""Non Emergency [Doctor]""]",choices,severity,431,7,235679,121,3
-WEvPV9ojb,"[""Non Emergency [No Doctor]""]",choices,severity,432,7,235807,120,2
Am_I8oWN26,"[""Emergency""]",choices,severity,433,7,235680,121,0
YIMBlC_wbx,"[""Emergency""]",choices,severity,434,7,235681,121,0
"17yQ2wbdqh","[""Non Emergency [Doctor]""]",choices,severity,435,7,235808,120,3
SHrBK8B8pb,"[""Emergency""]",choices,severity,436,7,235682,121,0
KBu_jjMDSp,"[""Non Emergency [No Doctor]""]",choices,severity,437,7,235809,120,2
mZNQW8_IXF,"[""Exclude""]",choices,exclude,462,7,235817,120,
IQjyrron1p,"[""Non Emergency [Doctor]""]",choices,severity,438,7,235683,121,3
